Titulo,Ano,Minha_Nota,TMDB_Id,Nota_Publico,Popularidade,Generos_Texto,Animação,Aventura,Ação,Comédia,Crime,Drama,Família,Fantasia,Faroeste,Ficção científica,Guerra,História,Mistério,Música,Romance,Terror,Thriller
Shutter Island,2010,5.0,11324,8.197,27.8018,"['Drama', 'Thriller', 'Mistério']",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
Eternal Sunshine of the Spotless Mind,2004,5.0,38,8.1,16.3439,"['Ficção científica', 'Drama', 'Romance']",0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
The Dark Knight,2008,4.0,155,8.5,59.7653,"['Ação', 'Crime', 'Thriller']",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Primal Fear,1996,4.5,1592,7.658,11.5288,"['Crime', 'Drama', 'Thriller']",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
The Housemaid,2025,2.0,1368166,7.273,46.1067,"['Mistério', 'Thriller']",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Click,2006,3.5,9339,6.311,8.0272,"['Comédia', 'Drama', 'Fantasia']",0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
The Shawshank Redemption,1994,5.0,278,8.728,91.02,"['Drama', 'Crime']",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Falling Down,1993,4.0,37094,7.4,8.9527,"['Crime', 'Drama', 'Thriller']",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
The Father,2020,5.0,600354,8.1,8.3033,['Drama'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Django Unchained,2012,4.5,68718,8.192,32.8422,"['Drama', 'Faroeste']",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
The Silence of the Lambs,1991,4.5,274,8.3,7.2067,"['Crime', 'Thriller', 'Drama']",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
Inception,2010,4.5,27205,8.373,64.5184,"['Ação', 'Ficção científica', 'Aventura']",0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
The Departed,2006,5.0,1422,8.159,24.6028,"['Drama', 'Thriller', 'Crime']",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
El Camino: A Breaking Bad Movie,2019,4.0,559969,7.05,7.5213,"['Crime', 'Drama', 'Thriller']",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
Taxi Driver,1976,4.0,103,8.1,19.3833,"['Crime', 'Drama']",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Chernobyl,2019,5.0,608558,8.0,0.876,['Drama'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Blade Runner,1982,4.0,78,7.934,18.4946,"['Ficção científica', 'Drama', 'Thriller']",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
Casino,1995,4.5,524,7.996,8.5264,"['Crime', 'Drama']",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Interstellar,2014,4.5,157336,8.485,67.3846,"['Aventura', 'Drama', 'Ficção científica']",0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Killers of the Flower Moon,2023,4.0,466420,7.39,15.0607,"['Crime', 'História', 'Drama']",0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
Fargo,1996,4.0,275,7.8,10.6757,"['Crime', 'Drama', 'Thriller']",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
Carandiru,2003,4.5,8440,7.6,1.9982,['Drama'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Fight Club,1999,4.5,550,8.437,40.1344,"['Drama', 'Thriller']",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Whiplash,2014,4.0,244786,8.4,30.2217,"['Drama', 'Música', 'Thriller']",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
Pulp Fiction,1994,4.5,680,8.48,43.3272,"['Thriller', 'Crime', 'Comédia']",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
Nosferatu,2024,2.0,426063,6.713,17.9674,"['Terror', 'Fantasia']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Fantastic Mr. Fox,2009,5.0,10315,7.8,15.9378,"['Aventura', 'Animação', 'Comédia', 'Família']",1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
The Lighthouse,2019,4.0,503919,7.5,11.7555,"['Drama', 'Fantasia', 'Thriller']",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
Donnie Darko,2001,4.0,141,7.76,13.6604,"['Fantasia', 'Drama', 'Mistério']",0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
Kill Bill: Vol. 1,2003,4.0,24,8.0,18.3417,"['Ação', 'Crime']",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
In Time,2011,3.0,49530,6.971,14.356,"['Ação', 'Thriller', 'Ficção científica']",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Rocky,1976,4.0,1366,7.801,12.4916,['Drama'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Gone Girl,2014,5.0,210577,7.89,21.166,"['Mistério', 'Thriller', 'Drama']",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
A Clockwork Orange,1971,4.0,185,8.2,16.528,"['Ficção científica', 'Crime']",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
The Prestige,2006,5.0,1124,8.211,24.0426,"['Drama', 'Mistério', 'Ficção científica']",0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
One Flew Over the Cuckoo's Nest,1975,5.0,510,8.4,17.5421,['Drama'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Mystic River,2003,4.5,322,7.743,8.3959,"['Thriller', 'Drama', 'Mistério', 'Crime']",0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
Heat,1995,4.0,949,7.9,18.4935,"['Crime', 'Drama', 'Ação']",0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
American History X,1998,5.0,73,8.326,15.4647,['Drama'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12 Angry Men,1957,5.0,389,8.569,27.0881,['Drama'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Social Network,2010,4.0,37799,7.4,18.1136,['Drama'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8 Mile,2002,3.0,65,7.147,8.1768,"['Drama', 'Música']",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1917,2019,5.0,530915,7.984,11.9491,"['Guerra', 'Drama', 'História']",0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
Bugonia,2025,4.0,701387,7.304,20.2164,"['Ficção científica', 'Thriller', 'Comédia']",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
Captain Marvel,2019,2.0,299537,6.773,27.6874,"['Ação', 'Aventura', 'Ficção científica']",0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Training Day,2001,4.0,2034,7.5,9.3898,"['Ação', 'Crime', 'Drama']",0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Memento,2000,5.0,77,8.2,22.6007,"['Mistério', 'Thriller']",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
The Lord of the Rings: The Two Towers,2002,4.5,121,8.426,34.1881,"['Aventura', 'Fantasia', 'Ação']",0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
The Lord of the Rings: The Fellowship of the Ring,2001,4.5,120,8.442,41.9259,"['Aventura', 'Fantasia', 'Ação']",0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Scary Movie,2000,3.5,4247,6.427,17.204,['Comédia'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tropic Thunder,2008,5.0,7446,6.721,10.3598,"['Ação', 'Comédia', 'Guerra']",0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
There Will Be Blood,2007,5.0,7345,8.065,15.6144,['Drama'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Lord of the Rings: The Return of the King,2003,5.0,122,8.504,48.7188,"['Aventura', 'Fantasia', 'Ação']",0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Birdman or (The Unexpected Virtue of Ignorance),2014,4.5,194662,7.437,12.2123,"['Drama', 'Comédia']",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Project Hail Mary,2026,4.0,687163,8.651,125.0677,"['Ficção científica', 'Aventura']",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Enemy,2013,3.5,181886,6.838,7.1513,"['Thriller', 'Mistério']",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Baby Driver,2017,4.0,339403,7.444,13.4574,"['Ação', 'Crime']",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Big Short,2015,4.5,318846,7.369,15.3638,"['Comédia', 'Drama']",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
The Shining,1980,3.5,694,8.201,21.5811,"['Terror', 'Thriller']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Unforgiven,1992,4.0,33,7.913,9.4731,['Faroeste'],0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Gran Torino,2008,4.5,13223,8.0,9.6241,['Drama'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Eyes Wide Shut,1999,4.0,345,7.5,19.1556,"['Drama', 'Thriller', 'Mistério']",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
"Crazy, Stupid, Love.",2011,3.5,50646,7.277,14.0737,"['Comédia', 'Drama', 'Romance']",0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
GoodFellas,1990,4.0,769,8.4,25.7452,"['Drama', 'Crime']",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
The Girl with the Dragon Tattoo,2011,3.5,65754,7.387,9.5918,"['Thriller', 'Crime', 'Mistério']",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
The Assassination of Jesse James by the Coward Robert Ford,2007,5.0,4512,7.1,9.2044,"['Drama', 'Faroeste']",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
After Hours,1985,4.5,10843,7.49,5.3478,"['Comédia', 'Thriller', 'Drama']",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
Misery,1990,3.0,1700,7.755,8.5131,"['Drama', 'Thriller']",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Green Book,2018,3.5,490132,8.223,15.4078,"['Drama', 'Comédia', 'História']",0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
The Big Lebowski,1998,5.0,115,7.834,19.3183,"['Comédia', 'Crime']",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
The Nice Guys,2016,5.0,290250,7.133,12.1391,"['Comédia', 'Crime', 'Ação']",0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
The Bourne Identity,2002,4.0,2501,7.485,18.8074,"['Ação', 'Mistério', 'Thriller']",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Spider-Man: Brand New Day,2026,4.0,969681,7.884,1819.537,"['Ficção científica', 'Ação', 'Aventura']",0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"The Good, the Bad and the Ugly",1966,5.0,429,8.467,26.4813,['Western'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
About Time,2013,4.0,122906,7.904,19.9524,"['Drama', 'Romance', 'Fantasy']",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Million Dollar Baby,2004,5.0,70,7.953,15.9252,['Drama'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
For a Few Dollars More,1965,4.5,938,8.0,9.8928,['Western'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
